,Revenue,COGS,Gross Profit,SG&A,Net Income,EPS,EBITDA,Shares,Cash & Equivalents,Receivables,Current Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24
2015-12-31,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.49
2016-03-31,0.0,0.0,0.0,0.0,0.0,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.67
2016-06-30,0.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.59
2016-09-30,0.0,0.0,0.0,0.0,0.0,-0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41
2016-12-31,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93
2017-03-31,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69
2017-06-30,0.0,0.0,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.16
2017-09-30,0.0,0.0,0.0,0.0,0.0,-1.9300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.94
2018-03-31,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98
2018-06-30,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25
2018-09-30,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.43
2018-12-31,0.0,0.0,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.72
2019-03-31,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.31
2019-06-30,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.19
2019-09-30,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1
2019-12-31,975000000.0,593000000.0,382000000.0,191000000.0,42000000.0,0.23,393000000.0,182608695.6521739,1184000000.0,585000000.0,2055000000.0,0.0,180000000.0,1576000000.0,8190000000.0,10958000000.0,3110000000.0,165434900.0,282155600.0,-83496600.0,0.0,1126822700.0,18.32
2020-03-31,931000000.0,609000000.0,322000000.0,195000000.0,-181000000.0,-0.99,332000000.0,182828282.82828283,1593000000.0,572000000.0,2455000000.0,0.0,281000000.0,1548000000.0,8549000000.0,11389000000.0,2943000000.0,213500000.0,114900000.0,-147800000.0,0.0,456100000.0,9.66
2020-06-30,849000000.0,459000000.0,390000000.0,297000000.0,-393000000.0,-2.15,30000000.0,182790697.6744186,1752000000.0,516000000.0,2541000000.0,0.0,187000000.0,1517000000.0,8655000000.0,11495000000.0,2522000000.0,211742000.0,234868700.0,-113141700.0,0.0,125627900.0,8.89
2020-09-30,888000000.0,488000000.0,400000000.0,299000000.0,-85000000.0,-0.46,330000000.0,185000000.0,1612000000.0,506000000.0,2406000000.0,0.0,284000000.0,1585000000.0,8175000000.0,11070000000.0,2776000000.0,252113300.0,152999900.0,-170353900.0,0.0,-103329800.0,8.14
2020-12-31,1097000000.0,587000000.0,510000000.0,357000000.0,-29000000.0,-0.12,400000000.0,232000000.0,894000000.0,561000000.0,1952000000.0,0.0,162000000.0,1705000000.0,8195000000.0,11786000000.0,2715000000.0,274771900.0,163595500.0,-2145464900.0,0.0,-170773400.0,11.09
2021-03-31,1160000000.0,603000000.0,557000000.0,376000000.0,88000000.0,0.38,422000000.0,232000000.0,1306000000.0,563000000.0,2409000000.0,0.0,163000000.0,1666000000.0,8620000000.0,12013000000.0,2806000000.0,245900000.0,203500000.0,-126400000.0,0.0,333000000.0,12.98
2021-06-30,1168000000.0,610000000.0,558000000.0,381000000.0,4000000.0,0.02,428000000.0,234000000.0,1311000000.0,592000000.0,2521000000.0,0.0,165000000.0,1690000000.0,8630000000.0,11962000000.0,2811000000.0,256674000.0,242573400.0,-217630500.0,0.0,-26670100.0,14.1
2021-09-30,1192000000.0,630000000.0,563000000.0,403000000.0,78000000.0,0.34,401000000.0,233000000.0,917000000.0,641000000.0,2025000000.0,0.0,155000000.0,1356000000.0,7443000000.0,12272000000.0,2956000000.0,216585700.0,239104200.0,-638872000.0,0.0,156628000.0,13.12
2021-12-31,1279000000.0,631000000.0,649000000.0,0.0,-611000000.0,-2.62,431000000.0,233000000.0,957000000.0,653000000.0,2066000000.0,0.0,188000000.0,1515000000.0,7460000000.0,12473000000.0,2236000000.0,168970600.0,250365000.0,-185651300.0,0.0,-69573300.0,11.4
2022-03-31,1219000000.0,599000000.0,620000000.0,0.0,84000000.0,0.37,407000000.0,228000000.0,857000000.0,668000000.0,2024000000.0,0.0,197000000.0,1360000000.0,7476000000.0,12276000000.0,2268000000.0,214100000.0,122300000.0,-189000000.0,0.0,-78200000.0,9.59
2022-06-30,1218000000.0,592000000.0,626000000.0,0.0,-473000000.0,-2.1,423000000.0,225000000.0,1031000000.0,731000000.0,2353000000.0,0.0,236000000.0,1520000000.0,7629000000.0,12501000000.0,1818000000.0,203798400.0,217083600.0,-148134700.0,0.0,110466400.0,7.79
2022-09-30,1222000000.0,622000000.0,600000000.0,0.0,84000000.0,0.38,392000000.0,220000000.0,769000000.0,690000000.0,2109000000.0,0.0,284000000.0,1591000000.0,7644000000.0,12537000000.0,1876000000.0,196542900.0,117292000.0,-356050200.0,0.0,-10166200.0,6.15
